2026-01-29 14:02:06.618 [main] INFO  smartebao.guide.CrawlerApplication - Starting CrawlerApplication using Java 1.8.0_442 on qiyuzhengdeMac-mini.local with PID 91611 (/Users/qiyuzheng/Desktop/java_project/kaoyoungCrawler/target/classes started by qiyuzheng in /Users/qiyuzheng/Desktop/java_project/kaoyoungCrawler)
2026-01-29 14:02:16.832 [http-nio-8090-exec-2] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: 46ac1504ff5140ffad6d51587c01f748
2026-01-29 14:02:21.839 [http-nio-8090-exec-3] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [2], RequestId: e2bee3a5152b4decb3351d3501915307
2026-01-29 14:02:21.840 [http-nio-8090-exec-3] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [2], RequestId: ba2a04eb3df5491d85a60554285a6021
2026-01-29 14:02:21.840 [http-nio-8090-exec-3] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: ba2a04eb3df5491d85a60554285a6021
2026-01-29 14:02:21.840 [http-nio-8090-exec-3] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: ba2a04eb3df5491d85a60554285a6021
2026-01-29 14:02:26.851 [http-nio-8090-exec-4] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [3], RequestId: 3bffe6790f1f4215ac0e2e105bf123c2
2026-01-29 14:02:26.851 [http-nio-8090-exec-4] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [3], RequestId: ccfcd22ef8494afe89569cbb0d0652cd
2026-01-29 14:02:26.852 [http-nio-8090-exec-4] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: ccfcd22ef8494afe89569cbb0d0652cd
2026-01-29 14:02:26.852 [http-nio-8090-exec-4] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: ccfcd22ef8494afe89569cbb0d0652cd
2026-01-29 14:02:31.863 [http-nio-8090-exec-5] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [4], RequestId: 56ed0082ee3e417ea61ee9bb842e3354
2026-01-29 14:02:31.864 [http-nio-8090-exec-5] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [4], RequestId: 3f6fc9fd9b4a496392bebd1159f67da0
2026-01-29 14:02:31.864 [http-nio-8090-exec-5] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: 3f6fc9fd9b4a496392bebd1159f67da0
2026-01-29 14:02:31.865 [http-nio-8090-exec-5] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: 3f6fc9fd9b4a496392bebd1159f67da0
2026-01-29 14:02:36.879 [http-nio-8090-exec-6] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [5], RequestId: 250b569672c14d32beeec208ed5bb511
2026-01-29 14:02:36.880 [http-nio-8090-exec-6] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [5], RequestId: c0a06f5c830f44b79d5ab3279a251119
2026-01-29 14:02:36.881 [http-nio-8090-exec-6] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: c0a06f5c830f44b79d5ab3279a251119
2026-01-29 14:02:36.881 [http-nio-8090-exec-6] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: c0a06f5c830f44b79d5ab3279a251119
2026-01-29 14:02:41.894 [http-nio-8090-exec-7] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [6], RequestId: 45e55e7de6c14d6d801e9cb9d4f2a1e8
2026-01-29 14:02:41.895 [http-nio-8090-exec-7] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [6], RequestId: 36fc7f5904c046e681e494a71173cb26
2026-01-29 14:02:41.895 [http-nio-8090-exec-7] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: 36fc7f5904c046e681e494a71173cb26
2026-01-29 14:02:41.896 [http-nio-8090-exec-7] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: 36fc7f5904c046e681e494a71173cb26
2026-01-29 14:02:46.911 [http-nio-8090-exec-8] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [7], RequestId: b46e664ae5c1418691e9e59b5bd4951e
2026-01-29 14:02:46.912 [http-nio-8090-exec-8] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [7], RequestId: 3e6b77a7a8c44d5e88ff9826d9bc732d
2026-01-29 14:02:46.913 [http-nio-8090-exec-8] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: 3e6b77a7a8c44d5e88ff9826d9bc732d
2026-01-29 14:02:46.913 [http-nio-8090-exec-8] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: 3e6b77a7a8c44d5e88ff9826d9bc732d
2026-01-29 14:02:51.924 [http-nio-8090-exec-9] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [8], RequestId: c193d9c4b0e146d1a89764cd1f055edc
2026-01-29 14:02:51.925 [http-nio-8090-exec-9] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [8], RequestId: 847f1761a81d47fbafff958617d1b07f
2026-01-29 14:02:51.925 [http-nio-8090-exec-9] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: 847f1761a81d47fbafff958617d1b07f
2026-01-29 14:02:51.925 [http-nio-8090-exec-9] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: 847f1761a81d47fbafff958617d1b07f
2026-01-29 14:02:56.937 [http-nio-8090-exec-10] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [9], RequestId: 21d905b80dce4890931575999f68c17e
2026-01-29 14:02:56.938 [http-nio-8090-exec-10] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [9], RequestId: e2820c812b6b4b32acb1ec63bdfbd914
2026-01-29 14:02:56.938 [http-nio-8090-exec-10] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: e2820c812b6b4b32acb1ec63bdfbd914
2026-01-29 14:02:56.938 [http-nio-8090-exec-10] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: e2820c812b6b4b32acb1ec63bdfbd914
2026-01-29 14:03:01.953 [http-nio-8090-exec-1] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [a], RequestId: dbeb2f0818df481c874bae0584cd892a
2026-01-29 14:03:01.953 [http-nio-8090-exec-1] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [a], RequestId: b6ce5c784f7641a7813a374fdf2c697a
2026-01-29 14:03:01.954 [http-nio-8090-exec-1] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: b6ce5c784f7641a7813a374fdf2c697a
2026-01-29 14:03:01.954 [http-nio-8090-exec-1] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: b6ce5c784f7641a7813a374fdf2c697a
2026-01-29 14:03:06.969 [http-nio-8090-exec-2] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [b], RequestId: eec1731874914945b1dac0d67efea13f
2026-01-29 14:03:06.970 [http-nio-8090-exec-2] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [b], RequestId: aacf140f843a455da8ad1f621ee22e96
2026-01-29 14:03:06.970 [http-nio-8090-exec-2] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: aacf140f843a455da8ad1f621ee22e96
2026-01-29 14:03:06.970 [http-nio-8090-exec-2] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: aacf140f843a455da8ad1f621ee22e96
2026-01-29 14:03:11.984 [http-nio-8090-exec-3] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [c], RequestId: a5e51f629c714f1ebf0d413af2e56889
2026-01-29 14:03:11.984 [http-nio-8090-exec-3] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [c], RequestId: fdc9d87694994d7da3ec713ff16705c9
2026-01-29 14:03:11.984 [http-nio-8090-exec-3] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: fdc9d87694994d7da3ec713ff16705c9
2026-01-29 14:03:11.984 [http-nio-8090-exec-3] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: fdc9d87694994d7da3ec713ff16705c9
2026-01-29 14:03:16.997 [http-nio-8090-exec-4] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [d], RequestId: 80c07bb0c3ae4861840aee266a0e66d1
2026-01-29 14:03:16.998 [http-nio-8090-exec-4] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [d], RequestId: 414937135ff7459fb4a1d2cc804feb3e
2026-01-29 14:03:16.998 [http-nio-8090-exec-4] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: 414937135ff7459fb4a1d2cc804feb3e
2026-01-29 14:03:16.999 [http-nio-8090-exec-4] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: 414937135ff7459fb4a1d2cc804feb3e
2026-01-29 14:03:22.012 [http-nio-8090-exec-5] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [e], RequestId: d6e7a2ab7a794d8a8b809212037d2bb8
2026-01-29 14:03:22.015 [http-nio-8090-exec-5] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [e], RequestId: 7e385f50c44043679fbcead3f853d320
2026-01-29 14:03:22.015 [http-nio-8090-exec-5] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: 7e385f50c44043679fbcead3f853d320
2026-01-29 14:03:22.015 [http-nio-8090-exec-5] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: 7e385f50c44043679fbcead3f853d320
2026-01-29 14:03:27.031 [http-nio-8090-exec-6] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [f], RequestId: dd62d506d5514c5e8ac385d046460347
2026-01-29 14:03:27.032 [http-nio-8090-exec-6] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [f], RequestId: da48cc906b044910afbd33e26dbe462c
2026-01-29 14:03:27.032 [http-nio-8090-exec-6] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: da48cc906b044910afbd33e26dbe462c
2026-01-29 14:03:27.032 [http-nio-8090-exec-6] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: da48cc906b044910afbd33e26dbe462c
2026-01-29 14:03:32.046 [http-nio-8090-exec-7] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [10], RequestId: b556721e274a4cae8c1fb2e250fadb88
2026-01-29 14:03:32.047 [http-nio-8090-exec-7] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [10], RequestId: f8ce1ba30b60438ea807877ad66459f2
2026-01-29 14:03:32.047 [http-nio-8090-exec-7] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: f8ce1ba30b60438ea807877ad66459f2
2026-01-29 14:03:32.047 [http-nio-8090-exec-7] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: f8ce1ba30b60438ea807877ad66459f2
2026-01-29 14:03:37.059 [http-nio-8090-exec-8] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [11], RequestId: bafe1a08db1d4ed99cd20f553bd0f95a
2026-01-29 14:03:37.060 [http-nio-8090-exec-8] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [11], RequestId: 0787795342ab4cd2bec58d2d8b6efb02
2026-01-29 14:03:37.060 [http-nio-8090-exec-8] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: 0787795342ab4cd2bec58d2d8b6efb02
2026-01-29 14:03:37.060 [http-nio-8090-exec-8] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: 0787795342ab4cd2bec58d2d8b6efb02
2026-01-29 14:03:42.075 [http-nio-8090-exec-9] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [12], RequestId: a235a724a1914ca2ae39cf83012e65e2
2026-01-29 14:03:42.076 [http-nio-8090-exec-9] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [12], RequestId: b13ca9d4f507485ab460dfc06e8a8bb4
2026-01-29 14:03:42.076 [http-nio-8090-exec-9] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: b13ca9d4f507485ab460dfc06e8a8bb4
2026-01-29 14:03:42.076 [http-nio-8090-exec-9] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: b13ca9d4f507485ab460dfc06e8a8bb4
2026-01-29 14:03:47.086 [http-nio-8090-exec-10] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [13], RequestId: ac88e9b63ae74404b52319eaf374e8db
2026-01-29 14:03:47.087 [http-nio-8090-exec-10] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [13], RequestId: e1f74fabc12b4893a4f2ef07d4445e8a
2026-01-29 14:03:47.087 [http-nio-8090-exec-10] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: e1f74fabc12b4893a4f2ef07d4445e8a
2026-01-29 14:03:47.087 [http-nio-8090-exec-10] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: e1f74fabc12b4893a4f2ef07d4445e8a
2026-01-29 14:03:52.101 [http-nio-8090-exec-1] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [14], RequestId: f92c84fe216f46f8835fdd86f0d43bd5
2026-01-29 14:03:52.103 [http-nio-8090-exec-1] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [14], RequestId: 228bb6410a664ef292f2cc8fc41423e1
2026-01-29 14:03:52.103 [http-nio-8090-exec-1] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: 228bb6410a664ef292f2cc8fc41423e1
2026-01-29 14:03:52.103 [http-nio-8090-exec-1] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: 228bb6410a664ef292f2cc8fc41423e1
2026-01-29 14:03:57.114 [http-nio-8090-exec-2] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [15], RequestId: 1f139e2bb6df4259a5a9c09dbc5a9dac
2026-01-29 14:03:57.115 [http-nio-8090-exec-2] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [15], RequestId: 18fe35ca72f149008448958d4ff536d6
2026-01-29 14:03:57.115 [http-nio-8090-exec-2] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: 18fe35ca72f149008448958d4ff536d6
2026-01-29 14:03:57.115 [http-nio-8090-exec-2] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: 18fe35ca72f149008448958d4ff536d6
2026-01-29 14:04:02.130 [http-nio-8090-exec-3] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [16], RequestId: e121d5e4fdb94b7b94eb857ab40c7646
2026-01-29 14:04:02.131 [http-nio-8090-exec-3] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [16], RequestId: c4f8da4d64854e52a06566c1e97597be
2026-01-29 14:04:02.131 [http-nio-8090-exec-3] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: c4f8da4d64854e52a06566c1e97597be
2026-01-29 14:04:02.132 [http-nio-8090-exec-3] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: c4f8da4d64854e52a06566c1e97597be
2026-01-29 14:04:07.143 [http-nio-8090-exec-4] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [17], RequestId: 9f0b1a0bbc944a94aaaa2258add34d4c
2026-01-29 14:04:07.145 [http-nio-8090-exec-4] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [17], RequestId: a6a1296d357f4afcb9f22745a75c3267
2026-01-29 14:04:07.145 [http-nio-8090-exec-4] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: a6a1296d357f4afcb9f22745a75c3267
2026-01-29 14:04:07.145 [http-nio-8090-exec-4] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: a6a1296d357f4afcb9f22745a75c3267
2026-01-29 14:04:12.151 [http-nio-8090-exec-5] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [18], RequestId: 755466bed2cf4aa09f09a2ddc9b90d72
2026-01-29 14:04:12.151 [http-nio-8090-exec-5] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [18], RequestId: 3af1e4e198404a8db20a08cce1117db0
2026-01-29 14:04:12.151 [http-nio-8090-exec-5] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: 3af1e4e198404a8db20a08cce1117db0
2026-01-29 14:04:12.152 [http-nio-8090-exec-5] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: 3af1e4e198404a8db20a08cce1117db0
2026-01-29 14:04:17.256 [http-nio-8090-exec-6] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [19], RequestId: 9b41dad839554b8d8f098dddb953bfa2
2026-01-29 14:04:17.258 [http-nio-8090-exec-6] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [19], RequestId: 825d5a6cbb2047de89778fe86fe0d17a
2026-01-29 14:04:17.258 [http-nio-8090-exec-6] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: 825d5a6cbb2047de89778fe86fe0d17a
2026-01-29 14:04:17.258 [http-nio-8090-exec-6] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: 825d5a6cbb2047de89778fe86fe0d17a
2026-01-29 14:04:22.277 [http-nio-8090-exec-8] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [1a], RequestId: b245698bb5764b28b4e7fe34fc8a9a16
2026-01-29 14:04:22.277 [http-nio-8090-exec-8] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [1a], RequestId: 50b654afb9ac46028cdb8261c1ab42d0
2026-01-29 14:04:22.278 [http-nio-8090-exec-8] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: 50b654afb9ac46028cdb8261c1ab42d0
2026-01-29 14:04:22.278 [http-nio-8090-exec-8] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: 50b654afb9ac46028cdb8261c1ab42d0
2026-01-29 14:04:27.289 [http-nio-8090-exec-10] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [1b], RequestId: 67b02f8d619f4504ae07604839eea112
2026-01-29 14:04:27.292 [http-nio-8090-exec-10] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [1b], RequestId: 59d0b7ba33bd4d7f8eddd74ecf64d846
2026-01-29 14:04:27.292 [http-nio-8090-exec-10] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: 59d0b7ba33bd4d7f8eddd74ecf64d846
2026-01-29 14:04:27.292 [http-nio-8090-exec-10] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: 59d0b7ba33bd4d7f8eddd74ecf64d846
